processor_x,Price,Fab,Chiplets,"Cores
(threads)",Core config[i],Clock rate (GHz),Unnamed: 7,Unnamed: 8,Cache,Unnamed: 10,Unnamed: 11,"Socket &
configuration",TDP,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,6.0,AMD EPYC 7742 2.25Ghz,2250.0,6.0,384.0,768.0,768.0,,250.0,2020.0,amd,0.33,,0.65,,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25 GHz,2250.0,1.0,64.0,128.0,128.0,246.0,99.5,,amd,0.78,1.92,1.55,3.84,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25GHz,2250.0,1.0,64.0,128.0,256.0,250.0,60.8,2019.0,amd,0.47,1.95,0.95,3.91,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742,2250.0,2.0,128.0,256.0,256.0,492.0,133.0,2019.0,amd,0.52,1.92,1.04,3.84,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,4.0,AMD EPYC 7742 2.25 GHz,2250.0,8.0,512.0,1024.0,1024.0,,678.0,2020.0,amd,0.66,,1.32,,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25Ghz,2250.0,1.0,64.0,128.0,128.0,255.0,74.6,2019.0,amd,0.58,1.99,1.17,3.98,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25Ghz,2250.0,1.0,64.0,128.0,128.0,243.0,76.8,2019.0,amd,0.6,1.9,1.2,3.8,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25Ghz,2250.0,1.0,64.0,128.0,128.0,240.0,66.1,2019.0,amd,0.52,1.88,1.03,3.75,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25Ghz,2250.0,1.0,64.0,128.0,128.0,254.0,63.2,2019.0,amd,0.49,1.98,0.99,3.97,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25GHz,2250.0,2.0,128.0,256.0,256.0,395.0,82.3,2020.0,amd,0.32,1.54,0.64,3.09,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25GHz,2250.0,2.0,128.0,256.0,256.0,394.0,92.4,2020.0,amd,0.36,1.54,0.72,3.08,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25GHz,2250.0,2.0,128.0,256.0,256.0,403.0,99.5,2020.0,amd,0.39,1.57,0.78,3.15,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25GHz,2250.0,2.0,128.0,256.0,256.0,404.0,82.5,2020.0,amd,0.32,1.58,0.64,3.16,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25GHz,2250.0,2.0,128.0,256.0,256.0,391.0,82.8,2020.0,amd,0.32,1.53,0.65,3.05,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25GHz,2250.0,2.0,128.0,256.0,256.0,392.0,93.9,2020.0,amd,0.37,1.53,0.73,3.06,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25GHz,2250.0,2.0,128.0,256.0,256.0,398.0,94.0,2020.0,amd,0.37,1.55,0.73,3.11,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25GHz,2250.0,2.0,128.0,256.0,256.0,400.0,84.0,2020.0,amd,0.33,1.56,0.66,3.13,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25GHz,2250.0,1.0,64.0,128.0,128.0,224.0,63.8,2020.0,amd,0.5,1.75,1.0,3.5,2.0
EPYC 7742,US $6950,,,,,2.25,,3.4,,,,,225 W,,epyc,,7742,,,1.0,AMD EPYC 7742 2.25GHz,2250.0,1.0,64.0,128.0,128.0,221.0,64.6,2020.0,amd,0.5,1.73,1.01,3.45,2.0
